i,t,base_x,base_y,base_yaw,openrave_model_yaw,ee_x,ee_y,ee_z,q1,q2,q3,q4,q5,q6
0,0.0,-0.55,-0.4,1.5707963267948966,-1.5707963267948966,-0.6,-0.15,0.56,2.9410492565985935,-0.5305529618177227,2.087793263802589,-3.1279904485893244,-1.5708058521409758,-0.17976843625414643
1,2.5,-0.55,-0.4,1.5707963267948966,-1.5707963267948966,-0.6,0.09074361609831795,0.56,2.889734978410203,-0.181704127288151,0.8610394148371012,-2.250185517991422,-1.5707828223281828,1.1526186190334764
2,5.0,-0.42500000000000004,-0.4,1.5707963267948966,-1.5707963267948966,-0.44951398224682637,0.07829902350961178,0.56,2.834556144022472,-0.2177902523743155,0.9502228690908965,-2.3032255021504704,-1.570797489678823,1.0620934671767734
3,7.5,-0.30000000000000004,-0.525,1.5707963267948966,-1.5707963267948966,-0.24811358994273497,-0.05359248748276542,0.56,2.67276729217583,-0.22735388548304475,0.9742134720705491,-2.3176549988366903,-1.570797386785079,1.026656224838914
4,10.0,-0.17500000000000004,-0.4,1.5707963267948966,-1.5707963267948966,-0.21704440846735928,0.15,0.56,2.8914730635611057,-0.04496848725673735,0.5378544915733665,-2.063707427105548,-1.570789068143405,1.69199775654076
5,12.5,0.07499999999999996,-0.4,1.5707963267948966,-1.5707963267948966,0.023699207630958785,0.15,0.56,2.9087666137828054,-0.042604418689599105,0.53242621601953,-2.0606184374067373,-1.5707961731046705,1.7001502100134784
6,15.0,0.19999999999999996,-0.4,1.5707963267948966,-1.5707963267948966,0.25016688100550105,0.13569219062601662,0.56,2.7128307066092954,-0.0848905218886081,0.6301973078288193,-2.116098164421475,-1.5707984497025946,1.5648785350392462
7,17.5,0.32499999999999996,-0.525,1.5707963267948966,-1.5707963267948966,0.29316720839107363,-0.07704702781144425,0.56,2.8263889040189345,-0.3269089865947787,1.2356004289012628,-2.4794682588199914,-1.57080089877924,1.0996543899932611
8,20.0,0.575,-0.525,1.5707963267948966,-1.5707963267948966,0.5298063322984281,-0.06249015346372989,0.56,2.8613787725806277,-0.294464638673457,1.1476923860873514,-2.424027096896871,-1.570795351461768,1.1757273118437908
9,22.5,0.7,-0.4,1.5707963267948966,-1.5707963267948966,0.5618330038615919,0.15,0.56,3.078029095982564,-0.04334675072031349,0.5341367984727902,-2.0616212867215973,-1.5707869254921918,1.968646872502352
10,25.0,0.575,-0.525,1.5707963267948966,-1.5707963267948966,0.6,-0.05257661995990792,0.56,2.7071617414741445,-0.3187763899983515,1.2132591072897134,-2.4652574239293994,-1.57080388744778,1.4290186175847917
11,27.5,0.44999999999999996,-0.65,1.5707963267948966,-1.5707963267948966,0.3994602362540183,-0.14961887212437186,0.56,2.8823601731840145,-0.25239103036438837,1.0378157183832628,-2.356227281076633,-1.5707939032102616,1.580618115503853
12,30.0,0.19999999999999996,-0.525,1.5707963267948966,-1.5707963267948966,0.1876392779749021,-0.06527093152663269,0.56,2.776691368881463,-0.3480049459554693,1.2946204604579763,-2.517403778507666,-1.5707990346965162,1.384292610562731
13,32.5,0.07499999999999996,-0.4,1.5707963267948966,-1.5707963267948966,0.09631756996854313,0.08597122302158273,0.56,2.725693053150472,-0.29275905800319585,1.1431553700828365,-2.421197779643923,-1.5707952603627362,1.5064836442154093
14,35.0,0.07499999999999996,-0.525,1.5707963267948966,-1.5707963267948966,0.027998457385268183,-0.08645328049346059,0.56,2.841216645793583,-0.38596890718476284,1.4056245063534996,-2.5904439524192813,-1.5707978657591979,1.3243177053699873
15,37.5,-0.050000000000000044,-0.525,1.5707963267948966,-1.5707963267948966,-0.03586579251831856,-0.03666735331180665,0.56,2.7419267572971577,-0.29203075367664205,1.1412210109447294,-2.4199956124264808,-1.5707945075013288,1.5366020663708502
16,40.0,-0.17500000000000004,-0.4,1.5707963267948966,-1.5707963267948966,-0.15397083228324926,0.08597122302158273,0.56,2.7260343912401304,-0.2967275887217189,1.1537245919524024,-2.42779291218675,-1.5707965134873147,1.5264481161306946
17,42.5,-0.17500000000000004,-0.65,1.5707963267948966,-1.5707963267948966,-0.1760894716544542,-0.13265375370553148,0.56,2.794790062683515,-0.2233486035157755,0.9641486784437229,-2.3116034403211074,-1.5707942608675087,1.6922603977590465
18,45.0,-0.30000000000000004,-0.525,1.5707963267948966,-1.5707963267948966,-0.3608013464894411,-0.05580674164961401,0.56,2.887745855582879,-0.32876217618807446,1.2407192406651304,-2.48274458348515,-1.5707981483600728,1.483937520338107
19,47.5,-0.55,-0.525,1.5707963267948966,-1.5707963267948966,-0.5357434019216372,0.02687893104708428,0.56,2.797015724099643,-0.1334280209588297,0.7445747604965369,-2.1819648923315924,-1.570791498280599,1.9606413905924724
20,50.0,-0.55,-0.65,1.5707963267948966,-1.5707963267948966,-0.5999999999999978,-0.15,0.56,2.881484655563836,-0.27533333982292035,1.0972141422441515,-2.392665286887944,-1.5707988903051313,1.6838153978316195
